metric,null_score
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.9069264069264069
bacc,0.8831168831168831
bacc,0.8160173160173161
bacc,0.9090909090909092
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.7922077922077921
bacc,0.8160173160173161
bacc,0.7445887445887446
bacc,0.9090909090909092
bacc,0.8160173160173161
bacc,0.7467532467532467
bacc,0.9307359307359306
bacc,0.7705627705627706
bacc,0.9090909090909092
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.9545454545454546
bacc,0.8831168831168831
bacc,0.9090909090909092
bacc,0.7900432900432901
bacc,0.8138528138528138
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.9545454545454546
bacc,0.9761904761904762
bacc,0.9545454545454546
bacc,0.8614718614718615
bacc,0.9545454545454546
bacc,0.8138528138528138
bacc,0.8636363636363636
bacc,0.8160173160173161
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.9090909090909092
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.7705627705627706
bacc,0.9545454545454546
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.8636363636363636
bacc,0.7445887445887446
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.8138528138528138
bacc,0.7943722943722944
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.9069264069264069
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.8831168831168831
bacc,0.8376623376623377
bacc,0.9069264069264069
bacc,0.9090909090909092
bacc,0.699134199134199
bacc,0.8852813852813852
bacc,0.7683982683982684
bacc,0.8398268398268398
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.7683982683982684
bacc,0.7922077922077921
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.8160173160173161
bacc,0.8398268398268398
bacc,0.7683982683982684
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.7467532467532467
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.8160173160173161
bacc,0.7683982683982684
bacc,0.9090909090909092
bacc,0.8636363636363636
bacc,0.9761904761904762
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.9069264069264069
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.9307359307359306
bacc,1.0
bacc,0.8614718614718615
bacc,0.699134199134199
bacc,0.8831168831168831
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8636363636363636
bacc,0.8636363636363636
bacc,0.9069264069264069
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.9069264069264069
bacc,1.0
bacc,0.8398268398268398
bacc,0.8593073593073592
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.8376623376623377
bacc,0.9545454545454546
bacc,0.8398268398268398
bacc,0.7683982683982684
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.7207792207792207
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.7467532467532467
bacc,0.8852813852813852
bacc,0.7683982683982684
bacc,0.8138528138528138
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.8636363636363636
bacc,0.8160173160173161
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.7683982683982684
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.9069264069264069
bacc,0.8852813852813852
bacc,0.7467532467532467
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.8831168831168831
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.8354978354978355
bacc,0.9069264069264069
bacc,0.8138528138528138
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.9545454545454546
bacc,0.7445887445887446
bacc,0.7922077922077921
bacc,0.7705627705627706
bacc,0.7467532467532467
bacc,0.8398268398268398
bacc,0.8852813852813852
bacc,0.8831168831168831
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.9090909090909092
bacc,0.8614718614718615
bacc,0.9545454545454546
bacc,0.7445887445887446
bacc,0.722943722943723
bacc,0.9069264069264069
bacc,0.7207792207792207
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.8376623376623377
bacc,0.9090909090909092
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.9069264069264069
bacc,0.8636363636363636
bacc,0.722943722943723
bacc,0.8160173160173161
bacc,0.8398268398268398
bacc,0.722943722943723
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.9545454545454546
bacc,0.9069264069264069
bacc,0.9545454545454546
bacc,0.9545454545454546
bacc,0.8852813852813852
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.9069264069264069
bacc,0.8138528138528138
bacc,0.8398268398268398
bacc,0.7683982683982684
bacc,0.8831168831168831
bacc,0.7705627705627706
bacc,0.699134199134199
bacc,0.9545454545454546
bacc,0.8852813852813852
bacc,0.9090909090909092
bacc,0.8614718614718615
bacc,0.9069264069264069
bacc,0.7207792207792207
bacc,0.9545454545454546
bacc,0.8376623376623377
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.699134199134199
bacc,0.7922077922077921
bacc,0.9307359307359306
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.7445887445887446
bacc,0.8376623376623377
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.9090909090909092
bacc,0.8354978354978355
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.7705627705627706
bacc,0.9545454545454546
bacc,0.8831168831168831
bacc,0.8138528138528138
bacc,0.9069264069264069
bacc,0.7683982683982684
bacc,0.9090909090909092
bacc,0.7445887445887446
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.7683982683982684
bacc,0.8614718614718615
bacc,0.7683982683982684
bacc,0.9545454545454546
bacc,0.8614718614718615
bacc,0.7922077922077921
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8138528138528138
bacc,0.8852813852813852
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.8636363636363636
bacc,0.9545454545454546
bacc,0.9069264069264069
bacc,0.7445887445887446
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.9090909090909092
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.7683982683982684
bacc,0.8636363636363636
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.8138528138528138
bacc,0.8614718614718615
bacc,0.8593073593073592
bacc,0.8636363636363636
bacc,0.8376623376623377
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.7683982683982684
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.8138528138528138
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.9069264069264069
bacc,0.7705627705627706
bacc,0.7922077922077921
bacc,0.7467532467532467
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.8593073593073592
bacc,0.7922077922077921
bacc,0.7445887445887446
bacc,0.9545454545454546
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.7705627705627706
bacc,0.8138528138528138
bacc,0.8138528138528138
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.7705627705627706
bacc,0.8636363636363636
bacc,0.9090909090909092
bacc,0.8138528138528138
bacc,0.8398268398268398
bacc,0.8636363636363636
bacc,0.9069264069264069
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.9090909090909092
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.7662337662337663
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.7683982683982684
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.722943722943723
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.9545454545454546
bacc,0.8376623376623377
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.8636363636363636
bacc,0.8852813852813852
bacc,0.9545454545454546
bacc,0.8138528138528138
bacc,0.6774891774891775
bacc,0.8160173160173161
bacc,0.8636363636363636
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.7445887445887446
bacc,0.7922077922077921
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.7467532467532467
bacc,0.9307359307359306
bacc,0.9090909090909092
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.6774891774891775
bacc,0.9069264069264069
bacc,0.9545454545454546
bacc,0.8398268398268398
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.7683982683982684
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.7683982683982684
bacc,0.9545454545454546
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.7705627705627706
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.8852813852813852
bacc,0.9090909090909092
bacc,0.7705627705627706
bacc,0.8376623376623377
bacc,0.8376623376623377
bacc,0.7922077922077921
bacc,0.9069264069264069
bacc,0.8398268398268398
bacc,0.9761904761904762
bacc,0.8614718614718615
bacc,0.7705627705627706
bacc,0.8852813852813852
bacc,0.6536796536796536
bacc,0.8852813852813852
bacc,0.8138528138528138
bacc,0.9307359307359306
bacc,0.9069264069264069
bacc,0.6753246753246753
bacc,0.8138528138528138
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.7467532467532467
bacc,0.8376623376623377
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.9069264069264069
bacc,0.9307359307359306
bacc,0.7207792207792207
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.8852813852813852
bacc,0.9069264069264069
bacc,0.9069264069264069
bacc,0.8376623376623377
bacc,0.9069264069264069
bacc,0.7943722943722944
bacc,0.8398268398268398
bacc,0.8160173160173161
bacc,0.8593073593073592
bacc,0.7662337662337663
bacc,0.9761904761904762
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.8160173160173161
bacc,0.9069264069264069
bacc,0.8160173160173161
bacc,0.8181818181818181
bacc,0.9307359307359306
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.8831168831168831
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.8138528138528138
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.8160173160173161
bacc,0.8398268398268398
bacc,0.8831168831168831
bacc,0.7445887445887446
bacc,0.9069264069264069
bacc,0.8398268398268398
bacc,0.8160173160173161
bacc,0.7922077922077921
bacc,0.8852813852813852
bacc,0.8376623376623377
bacc,0.7705627705627706
bacc,0.699134199134199
bacc,0.8636363636363636
bacc,0.9307359307359306
bacc,0.9090909090909092
bacc,0.8376623376623377
bacc,0.7705627705627706
bacc,0.7683982683982684
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.9069264069264069
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.9761904761904762
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.9090909090909092
bacc,0.7683982683982684
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.9307359307359306
bacc,0.9069264069264069
bacc,0.7922077922077921
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.8376623376623377
bacc,0.9069264069264069
bacc,0.7467532467532467
bacc,0.8852813852813852
bacc,0.9069264069264069
bacc,0.8398268398268398
bacc,0.8138528138528138
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.722943722943723
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.8636363636363636
bacc,0.7467532467532467
bacc,0.9545454545454546
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.8852813852813852
bacc,0.9069264069264069
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.7207792207792207
bacc,0.7445887445887446
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.8852813852813852
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.8398268398268398
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.8398268398268398
bacc,0.7683982683982684
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.8376623376623377
bacc,0.7922077922077921
bacc,0.7922077922077921
bacc,0.7683982683982684
bacc,0.8398268398268398
bacc,0.9069264069264069
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.7445887445887446
bacc,0.9545454545454546
bacc,0.9545454545454546
bacc,0.8852813852813852
bacc,0.7467532467532467
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.8831168831168831
bacc,0.9069264069264069
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.7683982683982684
bacc,0.9545454545454546
bacc,0.9307359307359306
bacc,0.8376623376623377
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.9069264069264069
bacc,0.7467532467532467
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.8852813852813852
bacc,0.699134199134199
bacc,0.7683982683982684
bacc,0.8376623376623377
bacc,0.8376623376623377
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.8376623376623377
bacc,0.8398268398268398
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.8831168831168831
bacc,0.9545454545454546
bacc,0.8831168831168831
bacc,0.8398268398268398
bacc,0.8636363636363636
bacc,0.8376623376623377
bacc,0.7467532467532467
bacc,0.9545454545454546
bacc,0.7922077922077921
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.7943722943722944
bacc,0.7943722943722944
bacc,0.9307359307359306
bacc,0.8593073593073592
bacc,0.9069264069264069
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.8138528138528138
bacc,0.8636363636363636
bacc,0.8376623376623377
bacc,0.8160173160173161
bacc,0.7683982683982684
bacc,0.8398268398268398
bacc,0.7922077922077921
bacc,0.9090909090909092
bacc,0.7922077922077921
bacc,0.8376623376623377
bacc,0.8614718614718615
bacc,0.9307359307359306
bacc,0.7467532467532467
bacc,0.8376623376623377
bacc,0.8398268398268398
bacc,0.9307359307359306
bacc,0.7922077922077921
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.7683982683982684
bacc,0.8376623376623377
bacc,0.8376623376623377
bacc,0.8376623376623377
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.9761904761904762
bacc,0.8376623376623377
bacc,0.7467532467532467
bacc,0.8376623376623377
bacc,0.722943722943723
bacc,0.9307359307359306
bacc,0.7705627705627706
bacc,0.8160173160173161
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.722943722943723
bacc,0.9069264069264069
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8831168831168831
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.7922077922077921
bacc,0.9069264069264069
bacc,0.8614718614718615
bacc,0.8831168831168831
bacc,0.8614718614718615
bacc,0.7922077922077921
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.9761904761904762
bacc,0.8160173160173161
bacc,0.9307359307359306
bacc,0.9307359307359306
bacc,0.9069264069264069
bacc,0.9069264069264069
bacc,0.7662337662337663
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.9545454545454546
bacc,0.8636363636363636
bacc,0.8593073593073592
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.8831168831168831
bacc,0.8376623376623377
bacc,0.8593073593073592
bacc,0.8852813852813852
bacc,0.8398268398268398
bacc,0.8852813852813852
bacc,0.8614718614718615
bacc,0.9545454545454546
bacc,0.9069264069264069
bacc,0.725108225108225
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8831168831168831
bacc,0.8831168831168831
bacc,0.8398268398268398
bacc,0.8593073593073592
bacc,0.8376623376623377
bacc,0.7683982683982684
bacc,0.8593073593073592
bacc,0.8852813852813852
bacc,0.7922077922077921
bacc,0.8852813852813852
bacc,0.8160173160173161
bacc,0.8831168831168831
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8614718614718615
bacc,0.8160173160173161
bacc,0.8160173160173161
bacc,0.8636363636363636
bacc,0.8614718614718615
bacc,0.9090909090909092
bacc,0.9090909090909092
bacc,0.9761904761904762
bacc,0.9090909090909092
bacc,0.8614718614718615
bacc,0.8376623376623377
bacc,0.7705627705627706
bacc,0.8376623376623377
bacc,0.8614718614718615
bacc,0.8852813852813852
bacc,0.7922077922077921
bacc,0.8636363636363636
bacc,0.9545454545454546
bacc,0.7683982683982684
bacc,0.8614718614718615
bacc,0.8614718614718615
bacc,0.8398268398268398
bacc,0.8398268398268398
bacc,0.8831168831168831
bacc,0.8614718614718615
bacc,0.699134199134199
bacc,0.8831168831168831
divergence,0.06266623576882124
divergence,0.3135651988621859
